Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,restoreStateBitcoinTransaction,Magic Number,The method contains a magic number: 343,199
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,parseBitcoinBlockGenesis,Magic Number,The method contains a magic number: 1024,234
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,parseBitcoinBlockGenesis,Magic Number,The method contains a magic number: 1024,234
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,parseBitcoinRawBlock,Magic Number,The method contains a magic number: 1024,253
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,parseBitcoinRawBlock,Magic Number,The method contains a magic number: 1024,253
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,parseBitcoinRawBlock,Magic Number,The method contains a magic number: 293,253
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,parseBitcoinTransaction,Magic Number,The method contains a magic number: 1024,272
hadoopcryptoledger,org.zuinnote.flink.bitcoin,FlinkBitcoinDataSourceTest,parseBitcoinTransaction,Magic Number,The method contains a magic number: 1024,272
hadoopcryptoledger,org.zuinnote.flink.ethereum,EthereumBlockFlinkInputFormat,nextRecord,Long Statement,The length of the statement "if ((this.currentSplit.getLength() < 0) || (this.stream.getPos() <= this.currentSplit.getStart() + this.currentSplit.getLength())) {" is 132.,66
hadoopcryptoledger,org.zuinnote.flink.ethereum,EthereumRawBlockFlinkInputFormat,nextRecord,Long Statement,The length of the statement "if ((this.currentSplit.getLength() < 0) || (this.stream.getPos() <= this.currentSplit.getStart() + this.currentSplit.getLength())) {" is 132.,56
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Long Statement,The length of the statement "byte[] expectedParentHash=new byte[]{0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00`0x00};" is 198.,94
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Long Statement,The length of the statement "assertArrayEquals(expectedParentHash`nextBlock.getEthereumBlockHeader().getParentHash()`"Block 0 contains a correct 32 byte parent hash");" is 138.,94
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Long Statement,The length of the statement "expectedParentHash=new byte[]{(byte)0xD4`(byte)0xE5`0x67`0x40`(byte)0xF8`0x76`(byte)0xAE`(byte)0xF8`(byte)0xC0`0x10`(byte)0xB8`0x6A`0x40`(byte)0xD5`(byte)0xF5`0x67`0x45`(byte)0xA1`0x18`(byte)0xD0`(byte)0x90`0x6A`0x34`(byte)0xE6`(byte)0x9A`(byte)0xEC`(byte)0x8C`0x0D`(byte)0xB1`(byte)0xCB`(byte)0x8F`(byte)0xA3};" is 311.,94
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Long Statement,The length of the statement "assertArrayEquals(expectedParentHash`nextBlock.getEthereumBlockHeader().getParentHash()`"Block 1 contains a correct 32 byte parent hash");" is 138.,94
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Long Statement,The length of the statement "expectedParentHash=new byte[]{(byte)0xD4`(byte)0xE5`0x67`0x40`(byte)0xF8`0x76`(byte)0xAE`(byte)0xF8`(byte)0xC0`0x10`(byte)0xB8`0x6A`0x40`(byte)0xD5`(byte)0xF5`0x67`0x45`(byte)0xA1`0x18`(byte)0xD0`(byte)0x90`0x6A`0x34`(byte)0xE6`(byte)0x9A`(byte)0xEC`(byte)0x8C`0x0D`(byte)0xB1`(byte)0xCB`(byte)0x8F`(byte)0xA3};" is 311.,94
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Long Statement,The length of the statement "assertArrayEquals(expectedParentHash`nextBlock.getEthereumBlockHeader().getParentHash()`"Block 1 contains a correct 32 byte parent hash");" is 138.,94
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Magic Number,The method contains a magic number: 1024,94
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Magic Number,The method contains a magic number: 1024,94
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Magic Number,The method contains a magic number: 540,94
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Magic Number,The method contains a magic number: 0xD4,94
hadoopcryptoledger,org.zuinnote.flink.ethereum,FlinkEthereumDataSourceTest,restoreStateEthereumBlock,Magic Number,The method contains a magic number: 0xE5,94
