Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.common.rlp,RLPList,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RLPObject
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.exception,EthereumBlockReadException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.mapred,AbstractEthereumRecordReader,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONF_BUFFERSIZE; CONF_MAXBLOCKSIZE; CONF_USEDIRECTBUFFER; DEFAULT_BUFFERSIZE; DEFAULT_MAXSIZE_ETHEREUMBLOCK; DEFAULT_USEDIRECTBUFFER; LOG; bufferSize; maxSizeEthereumBlock; useDirectBuffer; codec; decompressor; reporter; conf; start; end; filePosition; fileIn; ebr
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.mapred,EthereumBlockFileInputFormat,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractEthereumFileInputFormat
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.mapred,EthereumBlockRecordReader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractEthereumRecordReader
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.mapred,EthereumFormatHadoopTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.mapreduce,AbstractEthereumRecordReader,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONF_BUFFERSIZE; CONF_MAXBLOCKSIZE; CONF_USEDIRECTBUFFER; DEFAULT_BUFFERSIZE; DEFAULT_MAXSIZE_ETHEREUMBLOCK; DEFAULT_USEDIRECTBUFFER; LOG; bufferSize; maxSizeEthereumBlock; useDirectBuffer; codec; decompressor; start; end; filePosition; ebr
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.mapreduce,EthereumBlockRecordReader,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractEthereumRecordReader
hadoopcryptoledger,org.zuinnote.hadoop.ethereum.format.mapreduce,EthereumFormatHadoopTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
hadoopcryptoledger,org.zuinnote.hadoop.namecoin.format.common,NamecoinUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; OP_NAME_NEW; OP_NAME_FIRSTUPDATE; OP_NAME_UDPATE; STR_OP_UNKNOWN; STR_OP_NAME_NEW; STR_OP_NAME_FIRSTUPDATE; STR_OP_NAME_UDPATE
hadoopcryptoledger,org.zuinnote.presto.bitcoin,BitcoinConnector,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
