Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounter,call,3,1,2,88
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounter,mapNoOfTransaction,3,1,1,97
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounter,reduceSumUpTransactions,3,1,2,109
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterTest,oneTimeSetUp,2,1,0,39
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterTest,oneTimeTearDown,2,1,0,44
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterTest,setUp,2,1,0,49
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterTest,tearDown,2,1,0,53
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterTest,mapNoOfTransaction,10,1,0,57
hadoopcryptoledger,org.zuinnote.spark2.bitcoin.example,Spark2BitcoinBlockCounterTest,reduceSumUpTransactions,6,1,0,69
hadoopcryptoledger,org.zuinnote.flink.bitcoin,AbstractBitcoinFlinkInputFormat,AbstractBitcoinFlinkInputFormat,3,1,0,48
hadoopcryptoledger,org.zuinnote.flink.bitcoin,AbstractBitcoinFlinkInputFormat,AbstractBitcoinFlinkInputFormat,3,1,3,52
hadoopcryptoledger,org.zuinnote.flink.bitcoin,AbstractBitcoinFlinkInputFormat,AbstractBitcoinFlinkInputFormat,17,4,4,56
hadoopcryptoledger,org.zuinnote.flink.bitcoin,AbstractBitcoinFlinkInputFormat,open,5,1,1,81
hadoopcryptoledger,org.zuinnote.flink.bitcoin,AbstractBitcoinFlinkInputFormat,getBbr,3,1,0,97
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinBlockFlinkInputFormat,BitcoinBlockFlinkInputFormat,3,1,3,45
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinBlockFlinkInputFormat,BitcoinBlockFlinkInputFormat,4,1,4,50
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinBlockFlinkInputFormat,reachedEnd,3,1,0,56
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinBlockFlinkInputFormat,getCurrentState,3,1,0,70
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinBlockFlinkInputFormat,reopen,8,1,2,84
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinBlockFlinkInputFormat,nextRecord,18,3,1,93
hadoopcryptoledger,org.zuinnote.flink.bitcoin,BitcoinRawBlockFlinkInputFormat,BitcoinRawBlockFlinkInputFormat,3,1,3,45
