deployment_project_reference,deployment_guid,latitude,longitude,time,recovery_datetime_utc,array_name,bottom_depth,depth,deployment_comments,datacenter_reference
BOOONC,nepBOOONCBOOONC-VR2W-125233-4,48.30056,-123.39094,2014-10-10T01:26:28Z,,BOOONC,126,121,Null,nep
BRKS,nepBRKSBROOKS001-VR2-4043-139,50.12358,-127.92424,2004-08-14T04:30:00Z,2004-09-17T01:27:00Z,BRKS,34,34,Null,nep
BRKS,nepBRKSBROOKS001-VR2-4125-407,50.12309,-127.92414,2005-04-19T05:24:00Z,,BRKS,31.1,31.1,LOST UNIT - LOCATED BUT UNABLE TO RECOVER,nep
BRKS,nepBRKSBROOKS001-VR2-4137-126,50.12795,-127.92558,2004-04-23T03:00:00Z,,BRKS,34,34,LOST UNIT - UNABLE TO LOCATE,nep
BRKS,nepBRKSBROOKS002-VR2-4126-408,50.12238,-127.93636,2005-04-19T05:35:00Z,,BRKS,29.3,29.3,LOST UNIT - LOCATED BUT UNABLE TO RECOVER,nep
BRKS,nepBRKSBROOKS002-VR2-4138-132,50.12608,-127.93725,2004-04-23T03:00:00Z,2004-08-13T21:30:00Z,BRKS,45,45,Null,nep
BRKS,nepBRKSBROOKS002-VR2-4138-140,50.12364,-127.93639,2004-08-14T04:40:00Z,2004-09-17T01:02:00Z,BRKS,45,45,Null,nep
BRKS,nepBRKSBROOKS003-VR2-4044-141,50.12356,-127.94849,2004-08-14T04:51:00Z,2004-09-17T00:48:00Z,BRKS,57,57,Null,nep
BRKS,nepBRKSBROOKS003-VR2-4127-409,50.12253,-127.94835,2005-04-19T05:47:00Z,2005-11-19T01:10:00Z,BRKS,53,53,Null,nep
BRKS,nepBRKSBROOKS003-VR2-4139-133,50.12105,-127.94617,2004-04-23T03:00:00Z,,BRKS,57,57,LOST UNIT - UNABLE TO LOCATE,nep
BRKS,nepBRKSBROOKS004-VR2-4042-142,50.12341,-127.96046,2004-08-14T05:03:00Z,2004-09-17T00:20:00Z,BRKS,75,75,Null,nep
BRKS,nepBRKSBROOKS004-VR2-4128-410,50.1227,-127.96021,2005-04-19T06:00:00Z,2005-11-19T22:00:00Z,BRKS,65.8,65.8,Null,nep
BRKS,nepBRKSBROOKS004-VR2-4140-134,50.1153,-127.95462,2004-04-23T03:00:00Z,,BRKS,75,75,LOST UNIT - LOCATED BUT UNABLE TO RECOVER,nep
BRKS,nepBRKSBROOKS005-VR2-4129-411,50.12329,-127.97211,2005-04-19T06:13:00Z,2005-11-20T22:30:00Z,BRKS,73.2,73.2,Null,nep
BRKS,nepBRKSBROOKS005-VR2-4141-135,50.10932,-127.96192,2004-04-23T03:00:00Z,2004-08-13T06:00:00Z,BRKS,75,75,Null,nep
BRKS,nepBRKSBROOKS005-VR2-4141-143,50.12328,-127.97285,2004-08-14T05:15:00Z,2004-09-16T23:40:00Z,BRKS,75,75,Null,nep
BRKS,nepBRKSBROOKS006-VR2-4130-412,50.12309,-127.98385,2005-04-19T06:26:00Z,,BRKS,86,86,LOST UNIT - LOCATED BUT UNABLE TO RECOVER,nep
BRKS,nepBRKSBROOKS006-VR2-4142-136,50.103,-127.96865,2004-04-23T03:00:00Z,2004-08-13T05:15:00Z,BRKS,94,94,Null,nep
BRKS,nepBRKSBROOKS006-VR2-4142-144,50.12319,-127.98475,2004-08-14T05:27:00Z,2004-09-16T23:21:00Z,BRKS,94,94,Null,nep
BRKS,nepBRKSBROOKS007-VR2-4131-413,50.12278,-127.99555,2005-04-19T06:40:00Z,2005-11-21T22:20:00Z,BRKS,98.8,98.8,Null,nep
BRKS,nepBRKSBROOKS007-VR2-4143-137,50.0969,-127.97582,2004-04-23T03:00:00Z,2004-08-13T04:30:00Z,BRKS,110,110,Null,nep
BRKS,nepBRKSBROOKS007-VR2-4143-145,50.12276,-127.99671,2004-08-14T05:40:00Z,2004-09-16T23:05:00Z,BRKS,110,110,Null,nep
BRKS,nepBRKSBROOKS008-VR2-4132-414,50.12238,-128.00604,2005-04-19T06:55:00Z,2005-11-21T22:00:00Z,BRKS,117,117,Null,nep
BRKS,nepBRKSBROOKS008-VR2-4144-138,50.0903,-127.982,2004-04-23T03:00:00Z,2004-08-13T05:00:00Z,BRKS,137,137,Null,nep
BRKS,nepBRKSBROOKS008-VR2-4144-146,50.12247,-128.00851,2004-08-14T05:53:00Z,2004-09-16T22:45:00Z,BRKS,137,137,Null,nep
BURR,nepBURRBURRARD001-VR2-4666-595,49.29263333,-123.0445333,2006-04-26T03:00:00Z,2006-07-04T03:00:00Z,BURR,0,0,Null,nep
BURR,nepBURRBURRARD001-VR2-6764-1002,49.28728333,-123.2384,2007-04-10T03:00:00Z,2007-08-14T03:00:00Z,BURR,0,0,Null,nep
BURR,nepBURRBURRARD002-VR2-4668-596,49.29985,-123.0425167,2006-04-26T03:00:00Z,2006-07-04T03:00:00Z,BURR,0,0,Null,nep
BURR,nepBURRBURRARD002-VR2-6761-1003,49.28921667,-123.2389167,2007-04-10T03:00:00Z,2007-08-03T03:00:00Z,BURR,0,0,Null,nep
BURR,nepBURRBURRARD003-VR2-6763-1004,49.28985,-123.24013,2007-03-26T02:13:00Z,2007-07-25T22:51:00Z,BURR,16.5,16.5,Null,nep
