datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,receiver_reference_type,receiver_reference_id
OTN-Global,GMXSNP-15-VR2TX-480081-2016,OTN-GlobalV2LGMXSNAPGMXSNP-15-VR2TX-480081-2016,VEMCO,VR2TX,480081,ManmadePlatform,V2LGMXSNAP_GMXSNP-15
OTN-Global,GMXSNP-17-VR2TX-480289-2016,OTN-GlobalV2LGMXSNAPGMXSNP-17-VR2TX-480289-2016,VEMCO,VR2TX,480289,ManmadePlatform,V2LGMXSNAP_GMXSNP-17
OTN-Global,GMXSNP-19-VR2TX-480103-2016,OTN-GlobalV2LGMXSNAPGMXSNP-19-VR2TX-480103-2016,VEMCO,VR2TX,480103,ManmadePlatform,V2LGMXSNAP_GMXSNP-19
OTN-Global,GMXSNP-21-VR2TX-480088-2016,OTN-GlobalV2LGMXSNAPGMXSNP-21-VR2TX-480088-2016,VEMCO,VR2TX,480088,ManmadePlatform,V2LGMXSNAP_GMXSNP-21
OTN-Global,GMXSNP-22-VR2TX-480359-2016,OTN-GlobalV2LGMXSNAPGMXSNP-22-VR2TX-480359-2016,VEMCO,VR2TX,480359,ManmadePlatform,V2LGMXSNAP_GMXSNP-22
OTN-Global,GMXSNP-23-VR2TX-480107-2016,OTN-GlobalV2LGMXSNAPGMXSNP-23-VR2TX-480107-2016,VEMCO,VR2TX,480107,ManmadePlatform,V2LGMXSNAP_GMXSNP-23
OTN-Global,GMXSNP-24-VR2TX-480295-2016,OTN-GlobalV2LGMXSNAPGMXSNP-24-VR2TX-480295-2016,VEMCO,VR2TX,480295,ManmadePlatform,V2LGMXSNAP_GMXSNP-24
OTN-Global,GMXSNP-25-VR2TX-480007-2016,OTN-GlobalV2LGMXSNAPGMXSNP-25-VR2TX-480007-2016,VEMCO,VR2TX,480007,ManmadePlatform,V2LGMXSNAP_GMXSNP-25
OTN-Global,GMXSNP-26-VR2TX-480084-2016,OTN-GlobalV2LGMXSNAPGMXSNP-26-VR2TX-480084-2016,VEMCO,VR2TX,480084,ManmadePlatform,V2LGMXSNAP_GMXSNP-26
OTN-Global,GMXSNP-27-VR2TX-480089-2016,OTN-GlobalV2LGMXSNAPGMXSNP-27-VR2TX-480089-2016,VEMCO,VR2TX,480089,ManmadePlatform,V2LGMXSNAP_GMXSNP-27
OTN-Global,GMXSNP-28-VR2TX-480299-2016,OTN-GlobalV2LGMXSNAPGMXSNP-28-VR2TX-480299-2016,VEMCO,VR2TX,480299,ManmadePlatform,V2LGMXSNAP_GMXSNP-28
OTN-Global,GMXSNP-29-VR2TX-480100-2016,OTN-GlobalV2LGMXSNAPGMXSNP-29-VR2TX-480100-2016,VEMCO,VR2TX,480100,ManmadePlatform,V2LGMXSNAP_GMXSNP-29
OTN-Global,GMXSNP-30-VR2TX-480291-2016,OTN-GlobalV2LGMXSNAPGMXSNP-30-VR2TX-480291-2016,VEMCO,VR2TX,480291,ManmadePlatform,V2LGMXSNAP_GMXSNP-30
OTN-Global,GMXSNP-31-VR2TX-480086-2016,OTN-GlobalV2LGMXSNAPGMXSNP-31-VR2TX-480086-2016,VEMCO,VR2TX,480086,ManmadePlatform,V2LGMXSNAP_GMXSNP-31
OTN-Global,GMXSNP-32-VR2TX-480091-2016,OTN-GlobalV2LGMXSNAPGMXSNP-32-VR2TX-480091-2016,VEMCO,VR2TX,480091,ManmadePlatform,V2LGMXSNAP_GMXSNP-32
OTN-Global,GMXSNP-33-VR2TX-480082-2016,OTN-GlobalV2LGMXSNAPGMXSNP-33-VR2TX-480082-2016,VEMCO,VR2TX,480082,ManmadePlatform,V2LGMXSNAP_GMXSNP-33
OTN-Global,GMXSNP-34-VR2TX-480287-2016,OTN-GlobalV2LGMXSNAPGMXSNP-34-VR2TX-480287-2016,VEMCO,VR2TX,480287,ManmadePlatform,V2LGMXSNAP_GMXSNP-34
OTN-Global,GMXSNP-35-VR2W-120536-2016,OTN-GlobalV2LGMXSNAPGMXSNP-35-VR2W-120536-2016,VEMCO,VR2W,120536,ManmadePlatform,V2LGMXSNAP_GMXSNP-35
OTN-Global,GMXSNP-36-VR2W-120546-2016,OTN-GlobalV2LGMXSNAPGMXSNP-36-VR2W-120546-2016,VEMCO,VR2W,120546,ManmadePlatform,V2LGMXSNAP_GMXSNP-36
OTN-Global,GMXSNP-37-VR2TX-480288-2016,OTN-GlobalV2LGMXSNAPGMXSNP-37-VR2TX-480288-2016,VEMCO,VR2TX,480288,ManmadePlatform,V2LGMXSNAP_GMXSNP-37
OTN-Global,GMXSNP-38-VR2W-120545-2016,OTN-GlobalV2LGMXSNAPGMXSNP-38-VR2W-120545-2016,VEMCO,VR2W,120545,ManmadePlatform,V2LGMXSNAP_GMXSNP-38
OTN-Global,GMXSNP-39-VR2TX-480297-2016,OTN-GlobalV2LGMXSNAPGMXSNP-39-VR2TX-480297-2016,VEMCO,VR2TX,480297,ManmadePlatform,V2LGMXSNAP_GMXSNP-39
OTN-Global,GMXSNP-40-VR2W-120544-2016,OTN-GlobalV2LGMXSNAPGMXSNP-40-VR2W-120544-2016,VEMCO,VR2W,120544,ManmadePlatform,V2LGMXSNAP_GMXSNP-40
OTN-Global,GMXSNP-41-VR2TX-480099-2016,OTN-GlobalV2LGMXSNAPGMXSNP-41-VR2TX-480099-2016,VEMCO,VR2TX,480099,ManmadePlatform,V2LGMXSNAP_GMXSNP-41
OTN-Global,GMXSNP-42-VR2TX-480294-2016,OTN-GlobalV2LGMXSNAPGMXSNP-42-VR2TX-480294-2016,VEMCO,VR2TX,480294,ManmadePlatform,V2LGMXSNAP_GMXSNP-42
OTN-Global,GMXSNP-43-VR2TX-480094-2016,OTN-GlobalV2LGMXSNAPGMXSNP-43-VR2TX-480094-2016,VEMCO,VR2TX,480094,ManmadePlatform,V2LGMXSNAP_GMXSNP-43
OTN-Global,GMXSNP-44-VR2TX-480097-2016,OTN-GlobalV2LGMXSNAPGMXSNP-44-VR2TX-480097-2016,VEMCO,VR2TX,480097,ManmadePlatform,V2LGMXSNAP_GMXSNP-44
OTN-Global,GMXSNP-45-VR2TX-480105-2016,OTN-GlobalV2LGMXSNAPGMXSNP-45-VR2TX-480105-2016,VEMCO,VR2TX,480105,ManmadePlatform,V2LGMXSNAP_GMXSNP-45
OTN-Global,GMXSNP-46-VR2TX-480104-2016,OTN-GlobalV2LGMXSNAPGMXSNP-46-VR2TX-480104-2016,VEMCO,VR2TX,480104,ManmadePlatform,V2LGMXSNAP_GMXSNP-46
OTN-Global,GMXSNP-47-VR2W-120539-2016,OTN-GlobalV2LGMXSNAPGMXSNP-47-VR2W-120539-2016,VEMCO,VR2W,120539,ManmadePlatform,V2LGMXSNAP_GMXSNP-47
OTN-Global,GMXSNP-48-VR2TX-480092-2016,OTN-GlobalV2LGMXSNAPGMXSNP-48-VR2TX-480092-2016,VEMCO,VR2TX,480092,ManmadePlatform,V2LGMXSNAP_GMXSNP-48
OTN-Global,GMXSNP-49-VR2TX-480293-2016,OTN-GlobalV2LGMXSNAPGMXSNP-49-VR2TX-480293-2016,VEMCO,VR2TX,480293,ManmadePlatform,V2LGMXSNAP_GMXSNP-49
OTN-Global,GMXSNP-50-VR2TX-480296-2016,OTN-GlobalV2LGMXSNAPGMXSNP-50-VR2TX-480296-2016,VEMCO,VR2TX,480296,ManmadePlatform,V2LGMXSNAP_GMXSNP-50
OTN-Global,GMXSNP-51-VR2TX-480300-2016,OTN-GlobalV2LGMXSNAPGMXSNP-51-VR2TX-480300-2016,VEMCO,VR2TX,480300,ManmadePlatform,V2LGMXSNAP_GMXSNP-51
OTN-Global,GMXSNP-52-VR2TX-480080-2016,OTN-GlobalV2LGMXSNAPGMXSNP-52-VR2TX-480080-2016,VEMCO,VR2TX,480080,ManmadePlatform,V2LGMXSNAP_GMXSNP-52
OTN-Global,GMXSNP-53-VR2TX-480095-2016,OTN-GlobalV2LGMXSNAPGMXSNP-53-VR2TX-480095-2016,VEMCO,VR2TX,480095,ManmadePlatform,V2LGMXSNAP_GMXSNP-53
OTN-Global,GMXSNP-54-VR2TX-480102-2016,OTN-GlobalV2LGMXSNAPGMXSNP-54-VR2TX-480102-2016,VEMCO,VR2TX,480102,ManmadePlatform,V2LGMXSNAP_GMXSNP-54
OTN-Global,GMXSNP-55-VR2W-120533-2016,OTN-GlobalV2LGMXSNAPGMXSNP-55-VR2W-120533-2016,VEMCO,VR2W,120533,ManmadePlatform,V2LGMXSNAP_GMXSNP-55
OTN-Global,GMXSNP-56-VR2TX-480096-2016,OTN-GlobalV2LGMXSNAPGMXSNP-56-VR2TX-480096-2016,VEMCO,VR2TX,480096,ManmadePlatform,V2LGMXSNAP_GMXSNP-56
OTN-Global,GMXSNP-57-VR2TX-480298-2016,OTN-GlobalV2LGMXSNAPGMXSNP-57-VR2TX-480298-2016,VEMCO,VR2TX,480298,ManmadePlatform,V2LGMXSNAP_GMXSNP-57
OTN-Global,GMXSNP-58-VR2W-120535-2016,OTN-GlobalV2LGMXSNAPGMXSNP-58-VR2W-120535-2016,VEMCO,VR2W,120535,ManmadePlatform,V2LGMXSNAP_GMXSNP-58
