animal_guid,length,length_type,weight,life_stage,age,sex
OTN-GlobalWRSWRS-1073406,0.202,FORK,0.08,SMOLT,Null,U
OTN-GlobalWRSWRS-1073407,0.185,FORK,0.059,SMOLT,Null,U
OTN-GlobalWRSWRS-1073408,0.185,FORK,0.054,SMOLT,Null,U
OTN-GlobalWRSWRS-1073409,0.192,FORK,0.072,SMOLT,Null,U
OTN-GlobalWRSWRS-1073410,0.2,FORK,0.069,SMOLT,Null,U
OTN-GlobalWRSWRS-1073411,0.185,FORK,0.062,SMOLT,Null,U
OTN-GlobalWRSWRS-1073412,0.181,FORK,0.058,SMOLT,Null,U
OTN-GlobalWRSWRS-1073413,0.192,FORK,0.075,SMOLT,Null,U
OTN-GlobalWRSWRS-1073414,0.185,FORK,0.06,SMOLT,Null,U
OTN-GlobalWRSWRS-1073415,0.188,FORK,0.061,SMOLT,Null,U
OTN-GlobalWRSWRS-1073416,0.2,FORK,0.079,SMOLT,Null,U
OTN-GlobalWRSWRS-1073417,0.179,FORK,0.055,SMOLT,Null,U
OTN-GlobalWRSWRS-1073418,0.182,FORK,0.059,SMOLT,Null,U
OTN-GlobalWRSWRS-1073419,0.179,FORK,0.059,SMOLT,Null,U
OTN-GlobalWRSWRS-1073420,0.189,FORK,0.07,SMOLT,Null,U
OTN-GlobalWRSWRS-1073421,0.182,FORK,0.054,SMOLT,Null,U
OTN-GlobalWRSWRS-1073422,0.19,FORK,0.061,SMOLT,Null,U
OTN-GlobalWRSWRS-29637,0.199,FORK,0.078,JUVENILE,Null,U
OTN-GlobalWRSWRS-29638,0.212,FORK,0.096,JUVENILE,Null,U
OTN-GlobalWRSWRS-29639,0.236,FORK,0.112,JUVENILE,Null,U
OTN-GlobalWRSWRS-29640,0.204,FORK,0.092,JUVENILE,Null,U
OTN-GlobalWRSWRS-29641,0.184,FORK,0.056,JUVENILE,Null,U
OTN-GlobalWRSWRS-29642,0.23,FORK,0.11,JUVENILE,Null,U
OTN-GlobalWRSWRS-29643,0.176,FORK,0.048,JUVENILE,Null,U
OTN-GlobalWRSWRS-29644,0.219,FORK,0.096,JUVENILE,Null,U
OTN-GlobalWRSWRS-29645,0.205,FORK,0.086,JUVENILE,Null,U
OTN-GlobalWRSWRS-10550,0.222,FORK,Null,Null,Null,U
OTN-GlobalWRSWRS-10551,0.196,FORK,Null,Null,Null,U
OTN-GlobalWRSWRS-10552,0.194,FORK,Null,Null,Null,U
OTN-GlobalWRSWRS-10553,0.186,FORK,Null,Null,Null,U
OTN-GlobalWRSWRS-10554,0.205,FORK,Null,Null,Null,U
OTN-GlobalWRSWRS-10555,0.218,FORK,Null,Null,Null,U
OTN-GlobalWRSWRS-37040,0.172,FORK,0.044,JUVENILE,Null,U
OTN-GlobalWRSWRS-37041,0.168,FORK,0.036,JUVENILE,Null,U
OTN-GlobalWRSWRS-37042,0.155,FORK,0.032,JUVENILE,Null,U
OTN-GlobalWRSWRS-37043,0.165,FORK,0.042,JUVENILE,Null,U
OTN-GlobalWRSWRS-37044,0.16,FORK,0.036,JUVENILE,Null,U
OTN-GlobalWRSWRS-29646,0.174,FORK,0.05,JUVENILE,Null,U
OTN-GlobalWRSWRS-29647,0.19,FORK,0.066,JUVENILE,Null,U
OTN-GlobalWRSWRS-29648,0.203,FORK,0.076,JUVENILE,Null,U
OTN-GlobalWRSWRS-29649,0.174,FORK,0.052,JUVENILE,Null,U
OTN-GlobalWRSWRS-29650,0.178,FORK,0.058,JUVENILE,Null,U
OTN-GlobalWRSWRS-29651,0.186,FORK,0.06,JUVENILE,Null,U
OTN-GlobalWRSWRS-29652,0.192,FORK,0.072,JUVENILE,Null,U
OTN-GlobalWRSWRS-29653,0.184,FORK,0.058,JUVENILE,Null,U
OTN-GlobalWRSWRS-29654,0.197,FORK,0.066,JUVENILE,Null,U
OTN-GlobalWRSWRS-29655,0.206,FORK,0.088,JUVENILE,Null,U
OTN-GlobalWRSWRS-29656,0.192,FORK,0.06,JUVENILE,Null,U
OTN-GlobalWRSWRS-29657,0.211,FORK,0.1,JUVENILE,Null,U
OTN-GlobalWRSWRS-29659,0.179,FORK,0.052,JUVENILE,Null,U
OTN-GlobalWRSWRS-29660,0.198,FORK,0.078,JUVENILE,Null,U
OTN-GlobalWRSWRS-29661,0.195,FORK,0.078,JUVENILE,Null,U
